Power-Diagram Balanced K-means on GloVe-6B-50d
Dataset: 400000 vectors, 50 dims, k=256, niter=25
========================================================================================================================
            Method |            SSE |   SSE +% |       CV |  CV Red% |   Imbal |   Min |   Max |  Max/μ | Empty |    Time
------------------------------------------------------------------------------------------------------------------------
          Standard |      809801.50 |      --- |   0.6037 |      --- |  1.3644 |     1 |  6546 |   4.19 |     0 |   1.69s
           λ=0.001 |     5047832.50 | +523.34% |   0.2821 |   +53.3% |  1.0796 |     1 |  7245 |   4.64 |     0 |  59.39s
           λ=0.005 |     9089029.00 | +1022.38% |   8.2144 | -1260.7% | 68.4756 |     0 | 159599 | 102.14 |   130 |  60.89s
            λ=0.01 |    11224836.00 | +1286.12% |   9.0001 | -1390.8% | 82.0010 |     0 | 193774 | 124.02 |   169 |  64.20s
            λ=0.02 |     8185792.50 | +910.84% |   8.9027 | -1374.7% | 80.2589 |     0 | 210533 | 134.74 |   205 |  61.85s
            λ=0.05 |    10675404.00 | +1218.27% |   6.1277 |  -915.0% | 38.5486 |     0 | 92166 |  58.99 |   222 |  57.94s
             λ=0.1 |    15804942.00 | +1851.71% |  15.2403 | -2424.5% | 233.2668 |     0 | 381573 | 244.21 |   238 |  57.95s
------------------------------------------------------------------------------------------------------------------------


PER-ITERATION CONVERGENCE (all lambdas)
================================================================================

lambda=0.001:
  Iter |            SSE |       CV 
  -----------------------------------
     0 |     6762689.50 |   1.7046
     1 |     5706289.00 |   0.8947
     2 |     5529558.00 |   0.8983
     3 |     5391609.50 |   0.7723
     4 |     5260232.00 |   0.6004
     5 |     5203787.00 |   0.4756
     6 |     5577067.00 |   2.5253
     7 |     5154810.00 |   0.4072
     8 |     5145310.50 |   0.6364
     9 |     5084945.00 |   0.3195
    10 |     5083221.50 |   0.3188
    11 |     5106184.50 |   0.4755
    12 |     5141138.50 |   0.8415
    13 |     5053531.00 |   0.2551
    14 |     5060328.00 |   0.2572
    15 |     5051744.50 |   0.2469
    16 |     5044555.00 |   0.2085
    17 |     5041064.00 |   0.2014
    18 |     5042278.00 |   0.2284
    19 |     5040328.00 |   0.1788
    20 |     5071475.00 |   0.4916
    21 |     5036154.00 |   0.1760
    22 |     5039953.00 |   0.1831
    23 |     5041314.00 |   0.1932
    24 |     5047832.50 |   0.2821

lambda=0.005:
  Iter |            SSE |       CV 
  -----------------------------------
     0 |     6762689.50 |   1.7046
     1 |     6244440.00 |   1.4714
     2 |     6494352.50 |   2.4250
     3 |     7179375.00 |   4.8580
     4 |     6462476.50 |   2.9681
     5 |     6779995.50 |   3.0069
     6 |     7469687.50 |   6.6011
     7 |     6954567.00 |   3.4602
     8 |     8181360.00 |   8.8651
     9 |     6726175.00 |   2.8610
    10 |     7008747.00 |   4.0295
    11 |     7499714.50 |   6.4295
    12 |     7347598.00 |   4.2311
    13 |     7008439.50 |   3.5203
    14 |     7845218.00 |   6.6437
    15 |     8625116.00 |  13.1536
    16 |     7017356.00 |   3.7433
    17 |     9968900.00 |   8.2431
    18 |     7029577.00 |   4.1635
    19 |     7046833.00 |   3.9738
    20 |    11562313.00 |  15.9351
    21 |     8292253.50 |   4.4180
    22 |     9593666.00 |   8.1101
    23 |    11522562.00 |  14.7087
    24 |     9089029.00 |   8.2144

lambda=0.01:
  Iter |            SSE |       CV 
  -----------------------------------
     0 |     6762689.50 |   1.7046
     1 |     6571295.00 |   1.8214
     2 |     7609962.00 |   5.0092
     3 |     8715416.00 |   9.9267
